ASH,TA_AV,RH
2,20.05,49
2,20.55,44.4
2,20.75,44
3,24.2,52.5
0,24.5,52.5
3,25.25,49.5
2,24.35,52.5
3,25.2,54.2
-2,23.55,58.1
-2,21.5,49.5
3,22.35,50.4
3,21.55,57.5
2,22.1,57.5
2,23.5,49.5
-2,24.25,49.5
3,24.55,49.5
2,24.65,49.5
1,21.7,56.3
2,23.15,57.6
-2,24.6,49.5
2,20.7,44.4
3,20.4,44.6
2,20.35,44.6
0,20.3,44.8
-2,20.3,44.8
1,20.5,44.4
0,20.35,44.8
1,20.55,44.9
3,20.5,44.6
-1,20.6,45.2
2,20.45,44.6
0,20.45,44.6
2,20.5,45.4
-1,20.05,44.6
1,21.3,44.6
0,24.1,49.1
-1,21.45,47.8
0,20.2,50.7
2,22.9,49.1
2,22.85,50.9
2,23.3,49.2
2,23.45,49.1
2,22.95,54.1
3,23.5,49.1
2,23.1,50.9
3,23.15,45.9
3,23.45,48.4
2,21.65,50
1,20.95,52.1
1,21.1,51.1
0,23.5,45.9
-2,23.8,50
2,23.7,51.3
3,23.1,54.1
2,23.6,50.9
2,23.5,52.1
3,23.8,50
2,23.9,46.1
2,23.6,50.9
0,22.8,56.2
0,24.2,48.4
2,24.2,48.6
2,24.2,48.4
2,22.8,56.2
2,24.2,48.6
2,22.8,56.2
3,24.1,49.1
-2,17.55,43.8
0,17.5,44.5
0,17.6,43.8
-3,17.25,45.7
0,17.6,43.8
-1,19.15,33.3
2,21.85,31.5
0,22.4,31.5
2,20.9,31.8
2,21.1,31.8
2,22.05,31.8
1,21.35,31.8
0,21.45,32.4
1,21,31.8
-3,18.9,49.9
2,17.7,47.7
-1,17.7,48
2,17.7,47.7
2,17.75,47.7
2,17.7,47.7
2,17.55,47.4
-1,19.4,46.5
0,19.45,46.5
0,17.65,47.5
1,17.75,47.5
2,17.9,48
0,17.15,47.7
3,16.25,47.8
0,16.1,47.8
-3,16.2,47.8
0,19.7,54.5
-1,20.1,51.3
2,19.65,52.4
2,19.6,52.9
1,19.1,48.1
1,19.5,49.5
1,19.65,48.8
1,24.3,61.3
1,23.5,62
1,23.6,61.4
1,24.5,58.3
1,24.9,57
-1,24.3,60.6
1,23.9,60
-2,24.4,59.1
1,24.6,59.3
0,24.6,58.4
0,24.9,58
0,24.9,57.6
0,23.8,58.4
0,23,58.9
1,23.1,58.9
1,24.6,59.6
0,25.1,59.2
-1,24.9,58.3
1,25.3,58.8
1,24.7,58.4
2,24.3,59.9
0,24,60.2
0,24.2,59.8
0,24.2,59.4
-1,23.8,59.7
0,24.8,63.8
1,25.8,64.8
1,24.9,63.6
1,24.7,61.9
0,23.9,61.2
0,23.5,61
0,23.3,61.6
-1,23.6,62.4
1,24.1,61.7
-1,23.7,57
1,23.6,57.1
-1,23.7,56.6
0,23.1,57.1
0,23.1,56.9
0,23,57.1
0,22.5,57.1
0,22,57.9
0,21.6,58.2
0,22.3,58
0,22.6,57.8
0,22.2,56.8
-1.5,21.8,56.7
-1,21.5,57.5
0,21.7,57.1
0,21.7,57.7
-3,22.3,56.9
1,24.5,37.7
0,24.5,36.6
0,24.6,36.5
0,24.5,36.5
-1,23.3,37.3
-1,22.6,37.8
0,22.8,37.6
0,23.2,37
1,23.6,36.6
0,23.6,36.3
0,23.7,35.6
1,23.4,35.4
0,23.4,35.2
0,23.5,35.1
-1,23.3,35.3
-1,22.8,35.3
1,22.5,35.5
0,22.8,35.3
0,22.8,35.4
-1,21,47
-1,21.4,44.5
-2,21.3,44
-1,21.1,44.3
-1,20.9,45.1
-2.5,20.9,45.7
-1,20,47.1
0,19.5,48.5
1,24.6,39.8
0,25.1,38.1
-1,25.1,37.6
-1,24.8,37.6
0,22.2,38.4
-1,22.8,37.4
0,23,37.1
0,22.3,36.9
-1,21.6,37.4
-0.5,21.7,37.3
-1,22.2,36.6
1,22.4,36.3
0,22.2,36.1
-1,22.5,35.9
0,21.9,36
0,21.9,35.8
-1,22.2,35.6
-1,21.6,35.9
0,21.6,35.7
-0.5,22.2,35.7
0,21.4,36
-2,21.7,35.4
0,22.1,35.4
-1,22.3,34.8
0,22.7,73.8
-2,22.1,75.3
1,24.1,73.7
1,24.3,71.1
2,24.5,70.4
1,24.4,69.7
-1,23.7,70.3
-0.5,22.3,68.7
0,21.9,69.3
-1,22,66.5
0,23.6,72.6
-1,24.1,72.1
0,23.4,70.7
0,23.6,73.2
1,23.7,73.2
0,23,70.6
0,22.2,70.4
-1,22.7,69.3
-1,23,68.6
0,22.9,68.3
0,24,64.1
0,23.7,70.1
-1,23.2,70.3
1,23.3,70.4
1,24,69.7
-0.5,23.8,70.2
1,24.7,69.5
2,24.4,68.9
3,24.4,69.3
-2,23.1,70.8
-0.5,21.9,71.7
-1,21.6,66.9
-1,21.5,67.7
-1,21.5,69.4
-1,22.2,72.6
0,22.9,72.1
1,22.9,71.6
0,23,71.4
-1,21.7,72.8
0,23,73.3
0,22.1,72.3
1,24.1,69.4
1,23.4,65.1
0,23.2,65.5
-2,23,66.3
0,23.3,65.8
0,23.6,66.2
0,23.6,66.4
1,23.8,67.6
1,23.8,66.7
0,23,67.1
-1,23.9,68.1
-1,24.1,68.5
0,23.8,68.3
0,23.3,67
-1,22.6,64.2
-1,22.5,64.7
0.5,22.5,63.8
-1,22.4,63.6
0,22.2,64.1
-1,21.8,64.7
0,22.3,65.1
0,23,63.8
-1,22.2,63.4
0,22.2,63.4
-1,21.9,64.2
0,22.8,62.1
-1,22.3,63.7
3,22.2,64.2
-1,22.4,64
0,22.6,64.1
0,22.7,63.7
0,22.4,63.8
0,23.2,64
2,23.3,63.5
1,23.6,62.9
-1,23.5,62.7
-0.5,23.5,62.4
1,23.4,63
0,23,63.4
-1,23,63.2
0,22.4,64.5
0,22.1,65.6
0,22,65.9
-1,22.4,65.3
-1,22.6,62.2
0,22.3,62.1
0,23.3,65.5
0,23.1,65.1
0,22.9,65.3
0,23.5,65.2
-1,22.9,63.6
-1,21.7,70.3
-1,21.4,71.5
0,21.4,71.7
-1,22.5,69.7
2,23.2,67.8
0,22.9,68.1
-2,22.7,68.6
0,22.9,67.8
1,23.2,67.5
-1,23.2,66.7
