"G. Donnini et al. Winter, 1994/1995. ASHRAE's RP-821 Air Conditioned (HVAC) building study in Montreal, Canada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Identifiers,,,,,,,Thermal Questionnaire,,,,,,,,,,,,,,,Indoor Climate Physical Obs,,,,,,,,,,,,,,Calculated Indices,,,,,,,,,,,,,,,,,,Personal Environmental Control,,,,,,,,,,,,,,,,,Outdoor Meteorological Data,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(n.b.combined chair + clothing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,ASH55-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLCODE,,AGE,,YEAR,,TIME,,PRXY_TSA,,MCI,,AVM,,,ACT20,,ACT60,,CLO,,,TA_H,,TA_L,,PRTA-B,,TG_M,,VEL_H,,VEL_L,,TURB_M,,TAAV,,TOP,,VELMAX,,PA,,,,,,,,,,,,,PCC_AG,,PCEC1,,PCEC3,,PCEC5,,PCEC7,,PCED2,,PCED4,,PCED6,,day15_ta,,dayav_ta,,day06_rh,,day15_et,,dayav_et
,SUB,,SEX,,DAY,,ASH,,TSA,,VENT,,COMF,ACT10,,ACT30,,MET,,UPHOLST,INSUL,,TA_M,,DEWPT,,TG_H,,TG_L,,VEL_M,,TURB_H,,TURB_L,,TRAV,,VELAV,,TUAV,,RH,ET,SET,TSENS,DISC,PMV,PPD,PD_H,PD_M,PD_L,PD_MAX,PCC,,PCS,,PCEC2,,PCEC4,,PCEC6,,PCED1,,PCED3,,PCED5,,PCED7,,day06_ta,,day15_rh,,dayav_rh,,day06_et,
1,9,36,1,1995,44,10.10,-1,2,2,2,4,2,5,1,1,1,1,1,0.7,0.18,0.88,23.4,23.8,24.1,4.2,3.3,23.8,23.6,23.2,0.123,0.065,0.101,0.34,0.4,0.23,23.8,23.4,23.6,0.1,0.123,0.32,0.823,27.6,23.3,24.9,-0.07,-0.07,-0.27,0.06,0.098060137,0.030957965,0.062565582,0.098060137,3,3.4,5,0,0,0,1,1,0,0,1,1,1,3,5,1,1,-6.1,-17.7,-11.9,65,53,59,-6.1,-17.8,-11.95
1,1,33,0,1995,44,11.00,1,2,2,2,5,2,6,1,1,1,1,1,0.8,0.33,1.13,23,23.4,23,4.9,3.1,22.9,23,22.6,0.097,0.059,0.062,0.3,0.27,0.37,23.1,22.7,22.9,0.07,0.097,0.31,0.87,30.4,22.6,25.7,-0.03,-0.03,-0.06,0.05,0.069673249,0.021309652,0.028269957,0.069673249,4,4.7,5,0,0,1,1,1,0,0,1,1,1,4,6,1,3,-6.1,-17.7,-11.9,65,53,59,-6.1,-17.8,-11.95
1,3,37,0,1995,44,11.35,0,2,2,2,5,2,6,1.6,1.6,1,1,1.2,0.7,0.33,1.03,23.6,23.4,23,5.1,1.4,23.1,23.5,22.9,0.178,0.095,0.178,0.23,0.31,0.15,23.3,23,23.2,0.15,0.178,0.23,0.877,30.2,22.7,26.2,0.14,0.23,0.18,0.06,0.135332679,0.065554431,0.126938112,0.135332679,5,3.3,5,0,0,0,1,0,1,1,1,1,1,3,1,3,3,-6.1,-17.7,-11.9,65,53,59,-6.1,-17.8,-11.95
1,4,35,1,1995,45,8.45,0,2,2,2,4,2,5,1,1,1.6,1.6,1.4,0.5,0.18,0.68,22.7,23,23,2.2,0.2,22.5,22.4,22.3,0.139,0.091,0.088,0.27,0.42,0.5,22.9,22.1,22.5,0.11,0.139,0.4,0.506,17.9,22.1,23.6,-0.05,-0.05,-0.1,0.05,0.114199754,0.069139312,0.069054942,0.114199754,2,2.7,3,0,0,1,0,1,0,0,1,1,2,2,2,1,1,-6.9,-12.8,-9.85,56,78,67,-7,-12.8,-9.9
1,6,39,1,1995,44,11.00,-1,2,2,2,4,1,4,1,1,1,1.6,1.3,1.2,0,1.2,23,23.1,22.7,5,0.1,22.7,22.6,22.6,0.093,0.067,0.116,0.32,0.37,0.24,22.9,22.5,22.7,0.09,0.116,0.31,0.876,30.9,22.1,27.5,0.35,0.54,0.49,0.1,0.066316819,0.035361808,0.087365521,0.087365521,1,4,5,0,0,1,0,1,1,0,1,1,2,2,2,3,2,-6.1,-17.7,-11.9,65,53,59,-6.1,-17.8,-11.95
1,7,53,0,1995,44,14.00,-1,2,2,2,5,2,5,1,1,1,1.6,1.3,0.7,0.22,0.92,23,23.1,23,5.4,0.5,22.8,22.9,22.6,0.21,0.088,0.157,0.17,0.34,0.24,23,22.6,22.8,0.15,0.21,0.25,0.897,31.5,22.4,25.6,0.03,0.09,0.14,0.05,0.157532281,0.060950697,0.124769222,0.157532281,2,2.7,4,0,0,1,0,1,0,0,1,1,3,1,2,1,1,-6.1,-17.7,-11.9,65,53,59,-6.1,-17.8,-11.95
1,8,38,0,1995,44,11.00,1,2,2,1,5,2,5,1.2,1,1.2,1.6,1.4,1.2,0.33,1.53,23.4,23.2,21.7,5,5.3,23,23.9,22,0.118,0.074,0.174,0.17,0.24,0.14,22.8,23.1,22.9,0.12,0.174,0.18,0.874,31.2,21.9,30.2,0.73,1.36,0.85,0.2,0.077721564,0.040607761,0.136254168,0.136254168,1,1.4,1,0,0,0,0,1,0,0,1,1,1,1,5,1,1,-6.1,-17.7,-11.9,65,53,59,-6.1,-17.8,-11.95
1,2,33,1,1995,44,11.40,1,2,2,1,6,2,3,1.6,1.6,1.6,1.6,1.6,1.1,0.33,1.43,23.2,23.3,22.7,5,0.3,22.7,22.9,22.5,0.068,0.052,0.073,0.49,0.27,0.29,23.1,22.5,22.8,0.06,0.073,0.35,0.876,30.7,21.7,30.5,0.79,1.48,0.95,0.24,0.039125175,0.008306953,0.0427563,0.0427563,2,1.4,3,0,0,0,0,1,0,0,1,1,1,1,3,1,1,-6.1,-17.7,-11.9,65,53,59,-6.1,-17.8,-11.95
1,10,40,1,1995,45,8.55,0,2,2,2,4,2,5,1.2,1.2,1.2,1.2,1.2,0.8,0.32,1.12,22.3,22.6,22.7,3.4,3.3,22.5,23,22.3,0.158,0.089,0.117,0.28,0.24,0.28,22.5,22.6,22.6,0.12,0.158,0.27,0.459,16.6,21.8,26.1,0.1,0.16,0.12,0.05,0.140621887,0.059950501,0.092033446,0.140621887,1,2.7,2,0,0,1,0,1,0,0,1,1,2,1,2,1,1,-6.9,-12.8,-9.85,56,78,67,-6.9,-12.8,-9.85
1,13,37,1,1995,44,15.00,0,2,2,2,2,1,4,1.2,1.6,1.6,1.6,1.5,1.1,0,1.1,22.5,22.5,22.5,8.3,0.6,22.1,22.3,22,0.1,0.091,0.102,0.42,0.35,0.53,22.5,21.9,22.2,0.1,0.102,0.43,0.301,10.9,20.9,26.7,0.25,0.36,0.45,0.09,0.084256289,0.068541204,0.094536957,0.094536957,1,0,1,0,0,0,0,0,0,0,6,6,5,5,5,5,5,-6.1,-17.7,-11.9,65,53,59,-6.1,-17.8,-11.95
