BLCODE,SUB,AGE,SEX,YEAR,DAY,TIME,ASH,PRXY_TSA,TSA,MCI,VENT,AVM,COMF,ACT10,ACT20,ACT30,ACT60,MET,CLO,UPHOLST,INSUL,TA_H,TA_M,TA_L,DEWPT,PRTA-B,TG_H,TG_M,TG_L,VEL_H,VEL_M,VEL_L,TURB_H,TURB_M,TURB_L,TAAV,TRAV,TOP,VELAV,VELMAX,TUAV,PA,RH,ET,SET,TSENS,DISC,PMV,PPD,PD_H,PD_M,PD_L,PD_MAX,PCC,PCC_AG,PCS,PCEC1,PCEC2,PCEC3,PCEC4,PCEC5,PCEC6,PCEC7,PCED1,PCED2,PCED3,PCED4,PCED5,PCED6,PCED7,day15_ta,day06_ta,dayav_ta,day15_rh,day06_rh,dayav_rh,day15_et,day06_et,dayav_et
1,3,.,0,1992,29,910,-0.5,2,.,2,.,.,6,.,.,.,.,1,0.70016,0.15,0.85016,23.3 ,22.8 ,22.5 ,8.5 ,1.5 ,23.4 ,22.7 ,22.4 ,0.10 ,0.05 ,0.05 ,0.23 ,0.33 ,0.31 ,22.9 ,22.8 ,22.9 ,0.06 ,0.10 ,0.29 ,1.110051678,39.84876963,22.7,24.1,-0.1,-0.1,-0.44,0.09,0.07,0.01,0.00,0.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1.111111111,-0.555555556,82,85,83.5,0,-1.1,-0.55
1,2,.,0,1992,29,926,-1,2,.,2,.,.,3,.,.,.,.,1,0.62358,0.15,0.77358,23.4 ,22.9 ,22.6 ,8.8 ,1.4 ,23.4 ,22.8 ,22.5 ,0.06 ,0.07 ,0.04 ,0.20 ,0.29 ,0.38 ,22.9 ,22.9 ,22.9 ,0.06 ,0.07 ,0.29 ,1.132117752,40.44438303,22.8,23.7,-0.12,-0.12,-0.58,0.12,0.02,0.03,0.00,0.03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1.111111111,-0.555555556,82,85,83.5,0,-1.1,-0.55
1,6,.,0,1992,29,941,2,1,.,3,.,.,3,.,.,.,.,1,0.70016,0.15,0.85016,23.8 ,23.4 ,23.1 ,9.0 ,-0.4 ,23.9 ,23.3 ,23.1 ,0.10 ,0.07 ,0.04 ,0.31 ,0.82 ,0.82 ,23.4 ,23.4 ,23.4 ,0.07 ,0.10 ,0.65 ,1.146007038,39.80956866,23.3,24.7,-0.07,-0.07,-0.29,0.07,0.07,0.06,0.00,0.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1.111111111,-0.555555556,82,85,83.5,0,-1.1,-0.55
1,1,.,0,1992,29,957,0,2,.,2,.,.,6,.,.,.,.,1,0.59076,0.15,0.74076,23.7 ,23.3 ,22.9 ,9.2 ,1.2 ,23.7 ,23.2 ,22.8 ,0.11 ,0.06 ,0.04 ,0.37 ,1.28 ,0.43 ,23.3 ,23.2 ,23.3 ,0.07 ,0.11 ,0.70 ,1.15769562,40.5488645,23.1,23.8,-0.11,-0.11,-0.53,0.11,0.08,0.05,0.00,0.08,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1.111111111,-0.555555556,82,85,83.5,0,-1.1,-0.55
1,4,.,1,1992,29,1015,0.5,2,.,2,.,.,5,.,.,.,.,1.2,0.53148,0.15,0.68148,24.0 ,23.8 ,23.5 ,9.5 ,0.0 ,24.1 ,23.8 ,23.5 ,0.10 ,0.07 ,0.07 ,2.06 ,0.34 ,0.54 ,23.8 ,23.8 ,23.8 ,0.08 ,0.10 ,0.98 ,1.186176681,40.2639846,23.7,24.5,-0.03,-0.03,0,0.05,0.16,0.04,0.04,0.16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1.111111111,-0.555555556,82,85,83.5,0,-1.1,-0.55
1,5,.,0,1992,29,1037,0.5,2,.,2,.,.,6,.,.,.,.,1,0.62358,0.15,0.77358,24.1 ,23.8 ,23.6 ,9.7 ,0.1 ,24.3 ,24.0 ,23.7 ,0.12 ,0.11 ,0.06 ,0.20 ,0.56 ,0.36 ,23.9 ,24.0 ,23.9 ,0.09 ,0.12 ,0.37 ,1.199031298,40.52929201,23.9,24.7,-0.07,-0.07,-0.26,0.06,0.08,0.09,0.02,0.09,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1.111111111,-0.555555556,82,85,83.5,0,-1.1,-0.55
1,12,.,1,1992,29,1104,1,2,.,3,.,.,4,.,.,.,.,1,1.12476,0.15,1.27476,22.9 ,22.9 ,22.7 ,7.7 ,0.0 ,23.0 ,22.9 ,22.7 ,0.09 ,0.07 ,0.04 ,0.48 ,0.31 ,0.70 ,22.8 ,22.9 ,22.8 ,0.07 ,0.09 ,0.50 ,1.046105288,37.68244053,22.7,26.6,0.1,0.18,0.16,0.06,0.07,0.04,0.00,0.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1.111111111,-0.555555556,82,85,83.5,0,-1.1,-0.55
1,13,.,1,1992,29,1113,0,2,.,2,.,.,5,.,.,.,.,1,0.95172,0.15,1.10172,23.0 ,22.9 ,22.7 ,7.6 ,-0.3 ,23.1 ,22.9 ,22.7 ,0.07 ,0.09 ,0.09 ,0.21 ,0.06 ,0.37 ,22.9 ,22.9 ,22.9 ,0.08 ,0.09 ,0.21 ,1.03967886,37.28483807,22.8,25.7,-0.03,-0.03,-0.05,0.05,0.04,0.05,0.07,0.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1.111111111,-0.555555556,82,85,83.5,0,-1.1,-0.55
1,14,.,1,1992,29,1121,1,2,.,1,.,.,3,.,.,.,.,1.2,0.70452,0.15,0.85452,23.0 ,22.9 ,22.7 ,7.6 ,-0.5 ,23.1 ,23.0 ,22.8 ,0.09 ,0.09 ,0.12 ,0.19 ,0.14 ,0.81 ,22.9 ,23.0 ,22.9 ,0.10 ,0.12 ,0.38 ,1.040391188,37.28778086,22.8,24.9,-0.02,-0.02,0.03,0.05,0.06,0.05,0.14,0.14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1.111111111,-0.555555556,82,85,83.5,0,-1.1,-0.55
1,23,.,1,1992,29,1307,0,2,.,3,.,.,5,.,.,.,.,1,0.7416,0.15,0.8916,23.1 ,22.8 ,22.5 ,7.1 ,-0.4 ,23.2 ,22.9 ,22.6 ,0.08 ,0.05 ,0.05 ,2.40 ,0.30 ,0.51 ,22.8 ,22.9 ,22.9 ,0.06 ,0.08 ,1.07 ,1.007371979,36.3092131,22.7,24.3,-0.09,-0.09,-0.4,0.08,0.11,0.01,0.00,0.11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1.111111111,-0.555555556,82,85,83.5,0,-1.1,-0.55
1,25,.,1,1992,29,1317,2,1,.,3,.,.,3,.,.,.,.,1.2,1.03824,0.15,1.18824,23.2 ,23.0 ,22.8 ,7.5 ,-1.1 ,23.4 ,23.1 ,22.8 ,0.12 ,0.09 ,0.06 ,2.05 ,1.25 ,0.27 ,23.0 ,23.1 ,23.0 ,0.09 ,0.12 ,1.19 ,1.035413891,36.95236191,22.6,27.4,0.34,0.52,0.45,0.09,0.27,0.11,0.02,0.27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1.111111111,-0.555555556,82,85,83.5,0.1,-1.1,-0.5
1,24,.,1,1992,29,1336,-0.5,2,.,1,.,.,5,.,.,.,.,1,0.82812,0.15,0.97812,23.7 ,23.4 ,23.1 ,8.0 ,-0.7 ,23.7 ,23.4 ,23.2 ,0.12 ,0.14 ,0.14 ,0.26 ,1.24 ,0.30 ,23.4 ,23.5 ,23.4 ,0.13 ,0.14 ,0.60 ,1.072893621,37.2847811,23.3,25.5,-0.04,-0.04,-0.16,0.06,0.08,0.22,0.12,0.22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1.111111111,-0.555555556,82,85,83.5,0,-1.1,-0.55
1,22,.,1,1992,29,1350,-1,2,.,1,.,.,3,.,.,.,.,1,0.77868,0.15,0.92868,23.1 ,23.0 ,22.9 ,8.2 ,-0.3 ,23.3 ,23.0 ,22.9 ,0.12 ,0.17 ,0.09 ,0.26 ,2.81 ,0.23 ,23.0 ,23.1 ,23.0 ,0.13 ,0.17 ,1.10 ,1.083924438,38.59004606,22.9,24.8,-0.06,-0.06,-0.34,0.07,0.09,0.60,0.05,0.60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1.111111111,-0.555555556,82,85,83.5,0,-1.1,-0.55
1,21,.,1,1992,29,1408,0,2,.,2,.,.,6,.,.,.,.,1.2,0.76632,0.15,0.91632,23.2 ,23.1 ,22.9 ,8.1 ,-0.3 ,23.3 ,23.1 ,22.9 ,0.09 ,0.06 ,0.05 ,2.26 ,0.87 ,0.97 ,23.0 ,23.1 ,23.1 ,0.07 ,0.09 ,1.37 ,1.08097318,38.38415536,22.8,25.5,0,0,0.15,0.05,0.17,0.03,0.00,0.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1.111111111,-0.555555556,82,85,83.5,0,-1.1,-0.55
1,3,.,0,1992,29,1504,0,2,.,2,.,.,6,.,.,.,.,1,0.70016,0.15,0.85016,23.1 ,22.7 ,21.7 ,7.1 ,-0.6 ,23.4 ,22.9 ,21.8 ,0.09 ,0.05 ,0.03 ,0.30 ,0.27 ,0.27 ,22.5 ,22.7 ,22.6 ,0.06 ,0.09 ,0.28 ,1.005987596,36.89585122,22.5,23.9,-0.11,-0.11,-0.54,0.11,0.07,0.00,0.00,0.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1.111111111,-0.555555556,82,85,83.5,0,-1.1,-0.55
1,2,.,0,1992,29,1511,-0.5,2,.,2,.,.,4,.,.,.,.,1,0.62358,0.15,0.77358,23.4 ,23.1 ,22.1 ,7.7 ,-1.0 ,23.5 ,23.1 ,22.2 ,0.08 ,0.06 ,0.04 ,0.47 ,0.42 ,3.38 ,22.8 ,22.9 ,22.9 ,0.06 ,0.08 ,1.42 ,1.046105288,37.59876644,22.7,23.6,-0.13,-0.13,-0.61,0.13,0.06,0.03,0.00,0.06,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1.111111111,-0.555555556,82,85,83.5,0,-1.1,-0.55
1,1,.,0,1992,29,1518,2.3,1,.,3,.,.,2,.,.,.,.,1,0.59076,0.15,0.74076,23.6 ,23.2 ,22.4 ,8.0 ,0.4 ,23.7 ,23.3 ,22.4 ,0.09 ,0.06 ,0.05 ,0.32 ,0.56 ,1.20 ,23.1 ,23.1 ,23.1 ,0.06 ,0.09 ,0.69 ,1.073625925,38.04643751,23,23.6,-0.12,-0.12,-0.6,0.12,0.06,0.03,0.00,0.06,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1.111111111,-0.555555556,82,85,83.5,0,-1.1,-0.55
1,6,.,0,1992,29,1535,2.1,1,.,3,.,.,3,.,.,.,.,1,0.70016,0.15,0.85016,23.8 ,23.5 ,23.1 ,8.4 ,-0.2 ,23.9 ,23.5 ,23.1 ,0.07 ,0.09 ,0.10 ,0.90 ,1.48 ,2.91 ,23.5 ,23.5 ,23.5 ,0.09 ,0.10 ,1.76 ,1.103280911,38.1868621,23.4,24.7,-0.07,-0.07,-0.27,0.07,0.04,0.11,0.24,0.24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1.111111111,-0.555555556,82,85,83.5,0,-1.1,-0.55
