"K. Cena and R. J. de Dear. Summer, 1997. ASHRAE's RP-921 study in Kalgoorlie, Australia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Identifiers,,,,,,,Thermal Questionnaire,,,,,,,,,,,,,,,Indoor climate physical obs,,,,,,,,,,,,,,Calculated Indices  (n.b. using combined chair + clothing insulation),,,,,,,,,,,,,,,,,,Personal Environmental Control,,,,,,,,,,,,,,,,,Outdoor Meteorological Data,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blcode,,age,,year,(Julian),time,,prxy_tsa,,mci,,avm,,act10,,act30,,met,,upholst,,(oC),(oC),(oC),(oC),(oC) abs,(oC),(oC),(oC),(m/s),(m/s),(m/s),(%),,(%),,(oC),(oC),(m/s),(m/s),,kPa,(%),(oC),(oC),,,,(frac),,,,(%),PCC,,PCS,,PCEC2,,PCEC4,,PCEC6,,PCED1,,PCED3,,PCED5,,PCED7,,OUT_MIN_TA,,COINC_RH1,,OUT_AVE_RH,,OUT_MIN_ET,
,sub,,sex,,day number,,ash,,tsa,,vent,,comf,,act20,,act60,,clo,,insul,ta_h,ta_m,ta_l,dewpt,prta_b,tg_h,tg_m,tg_l,vel_h,vel_m,vel_l,turb_h,turb_m,turb_l,taav,trav,top,velav,velmax,tuav,pa,rh,c_et,c_set,c_tsens,c_disc,c_pmv,c_ppd,pd_h,pd_m,pd_l,pd,,PCC_AG,,PCEC1,,PCEC3,,PCEC5,,PCEC7,,PCED2,,PCED4,,PCED6,,OUT_MAX_TA,,OUT_AVE_TA,,COINC_RH2,,OUT_MAX_ET,,OUT_AVE_ET
13,1,50,1,1997,335,845,2,1,2,2,3,3,5,70,70,100,93,1.430412371,0.38,0.15,0.53,23.67,23.09,22.95,7.08,0.5,24.44,23.9,23.28,0.14,0.201,0.233,37.34,.,35.03,23.23666667,24.8,24,0.191333333,0.233,36.185,,31.98,23.7,23.8,-0.03,-0.03,-0.14,0.05,,,,23.74970255,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41.2,22.2,31.7,6.1,50.7,28.4,34.6,22.2,28.4
13,2,53,1,1997,335,851,0,2,2,2,6,2,6,60,60,65,65,1.073883162,0.45,0.15,0.6,24.17,23.69,23.46,7.42,1.17,24.79,24.31,23.76,0.158,0.076,0.11,22.39,.,38.7,23.77333333,24.8,24.3,0.114666667,0.158,30.545,,31.17,24.1,24.1,-0.07,-0.07,-0.33,0.07,,,,11.00349839,1,,4,2,2,2,2,1,2,2,1,1,1,1,1,1,1,41.2,22.2,31.7,6.1,50.7,28.4,34.9,22.2,28.55
13,3,26,1,1997,335,856,1.2,2,2,2,4,3,5,60,93,100,100,1.516323024,0.56,0.15,0.71,23.89,23.69,23.33,7.66,0.2,24.22,23.96,23.47,0.201,0.171,0.133,25.33,.,37.67,23.63666667,24.2,23.9,0.168333333,0.201,31.5,,32.17,23.3,25.4,0.06,0.12,0.34,0.07,,,,15.73071713,1,,2,2,2,1,2,2,2,2,1,1,2,4,1,1,1,41.2,22.2,31.7,6.1,50.7,28.4,33.9,22.2,28.05
13,4,33,2,1997,335,900,0,2,2,2,6,2,5,100,60,60,100,1.374570447,0.42,0.15,0.57,24.3,24.01,23.53,7.73,1.35,24.5,24.34,23.67,0.177,0.105,0.151,25.86,.,38.6,23.94666667,24.4,24.2,0.144333333,0.177,32.23,,31.88,23.8,24.3,-0.02,-0.02,0.1,0.05,,,,13.38510042,3,,5,2,2,1,2,2,2,1,6,6,5,6,6,6,4,41.2,22.2,31.7,6.1,50.7,28.4,34.5,22.2,28.35
13,5,33,1,1997,335,904,1,2,1,1,2,3,3,100,60,65,60,1.224226804,0.34,0.15,0.49,25.12,24.77,23.91,7.83,0.17,25.23,24.98,24.05,0.207,0.152,0.154,39.72,.,40.8,24.6,25,24.8,0.171,0.207,40.26,,30.73,24.6,23.9,-0.06,-0.06,-0.33,0.07,,,,17.4184949,1,,2,2,2,1,2,1,2,2,1,1,3,1,3,1,1,41.2,22.2,31.7,6.1,50.7,28.4,35,22.2,28.6
13,6,23,2,1997,335,908,0.6,2,2,1,4,3,4,65,100,100,60,1.39604811,0.25,0.15,0.4,24.2,23.94,23.43,7.52,0.69,24.38,24.28,23.57,0.187,0.174,0.143,31.74,.,47.76,23.85666667,24.4,24.1,0.168,0.187,39.75,,30.85,23.9,22.8,-0.08,-0.08,-0.29,0.07,,,,15.2481102,2,,4,2,2,1,1,1,2,2,1,1,2,1,3,1,1,41.2,22.2,31.7,6.1,50.7,28.4,35,22.2,28.6
13,7,21,2,1997,335,913,1,2,2,1,4,3,5,60,100,100,60,1.374570447,0.49,0.15,0.64,24.3,23.91,23.53,8.01,1.21,24.6,24.34,23.73,0.082,0.069,0.114,31.9,.,25.99,23.91333333,24.5,24.2,0.088333333,0.114,28.945,,32.65,23.8,24.9,-0.01,-0.01,0.32,0.07,,,,8.067903371,1,,4,2,2,2,2,1,2,2,1,1,1,1,3,1,1,41.2,22.2,31.7,6.1,50.7,28.4,34.3,22.2,28.25
13,8,38,2,1997,335,917,0,2,2,2,6,2,6,93,65,65,65,1.237113402,0.38,0.15,0.53,24.61,24.2,23.72,7.83,0.21,24.91,24.69,24.05,0.175,0.108,0.125,24.73,.,31.41,24.17666667,25,24.6,0.136,0.175,28.07,,31,24.4,24,-0.06,-0.06,-0.24,0.06,,,,12.26434218,1,,4,2,2,1,2,1,2,2,1,1,4,1,4,1,1,41.2,22.2,31.7,6.1,50.7,28.4,34.9,22.2,28.55
13,9,24,1,1997,335,922,-0.7,2,2,2,4,3,5,100,100,65,65,1.417525773,0.45,0.15,0.6,24.39,23.91,23.43,7.58,0.51,24.73,24.31,23.73,0.144,0.158,0.239,29.99,.,35.96,23.91,24.7,24.3,0.180333333,0.239,32.975,,31,23.9,24.6,-0.01,-0.01,0.1,0.05,,,,23.77904745,2,,5,1,2,1,1,1,2,2,2,1,2,1,2,1,1,41.2,22.2,31.7,6.1,50.7,28.4,34.4,22.2,28.3
13,10,45,2,1997,335,927,-0.5,2,2,2,5,2,5,65,100,65,65,1.267182131,0.54,0.15,0.69,24.23,23.63,23.37,7.48,0.8,24.73,23.9,23.57,0.089,0.133,0.1,35,.,49.34,23.74333333,24.4,24.1,0.107333333,0.133,42.17,,32.17,23.7,24.9,-0.01,-0.01,0.17,0.06,,,,8.238813091,1,,4,2,2,2,2,1,2,2,1,1,1,2,3,1,1,41.2,22.2,31.7,6.1,50.7,28.4,34.3,22.2,28.25
13,11,44,1,1997,335,932,0,2,2,2,4,3,5,93,65,65,100,1.387457045,0.44,0.15,0.59,22.81,22.54,22.47,7.2,0.22,23.11,22.85,22.71,0.221,0.185,0.169,24.07,.,39.77,22.60666667,23.3,23,0.191666667,0.221,31.92,,33.94,22.7,23.4,-0.05,-0.05,-0.25,0.06,,,,19.12299446,1,,2,2,2,1,2,1,2,2,1,1,5,1,2,1,1,41.2,22.2,31.7,6.1,50.7,28.4,34.4,22.2,28.3
13,12,40,1,1997,335,937,0,2,2,2,6,2,6,65,65,65,65,1.116838488,0.56,0.15,0.71,23.19,23.12,22.82,7.51,0.56,23.62,23.52,23.12,0.191,0.201,0.121,19.37,.,36.51,23.04333333,24,23.5,0.171,0.201,27.94,,32.96,23.4,24.1,-0.08,-0.08,-0.5,0.1,,,,14.46805059,1,,3,1,2,1,2,1,2,2,2,1,3,1,2,1,1,41.2,22.2,31.7,6.1,50.7,28.4,34.7,22.2,28.45
13,13,26,2,1997,335,947,0,2,2,2,2,3,2,93,93,93,93,1.597938144,0.36,0,0.36,23.58,23.21,22.95,7.43,1.39,24.09,23.52,23.15,0.087,0.111,0.157,31.78,.,38.19,23.24666667,23.9,23.6,0.118333333,0.157,34.985,,33.05,23.3,22.2,-0.1,-0.1,-0.02,0.05,,,,14.81221401,1,,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,41.2,22.2,31.7,6.1,50.7,28.4,34.3,22.2,28.25
13,14,34,2,1997,335,953,0.5,2,2,1,5,3,4,65,65,100,60,1.245704467,0.37,0.15,0.52,23.83,23.4,23.08,7.39,0.07,24.32,23.81,23.31,0.073,0.084,0.075,35.45,.,35.37,23.43666667,24.1,23.8,0.077333333,0.084,35.41,,32.01,23.5,23.1,-0.1,-0.1,-0.37,0.08,,,,4.570909176,2,,3,1,2,2,2,1,2,2,5,1,1,1,4,1,1,41.2,22.2,31.7,6.1,50.7,28.4,34.9,22.2,28.55
13,15,64,1,1997,335,958,0,2,2,2,6,3,6,100,100,70,93,1.559278351,0.53,0,0.53,22.54,22.2,22.03,7.79,0.64,22.96,22.54,22.23,0.14,0.184,0.202,50.07,.,33.28,22.25666667,23,22.6,0.175333333,0.202,41.675,,37.25,22.4,23.1,-0.04,-0.04,-0.07,0.05,,,,20.94791902,4,,5,2,2,2,2,2,2,2,1,1,1,1,1,1,1,41.2,22.2,31.7,6.1,50.7,28.4,33.8,22.2,28
13,16,29,1,1997,335,1002,-1.2,2,2,3,3,1,3,60,65,60,100,1.224226804,0.67,0.15,0.82,21.94,21.69,21.64,7.18,1.56,22.33,22.15,22.07,0.22,0.264,0.189,56.64,.,77.3,21.75666667,22.9,22.3,0.224333333,0.264,66.97,,35.58,22.2,24.1,-0.06,-0.06,-0.43,0.09,,,,31.15696422,2,,2,2,2,1,2,1,2,1,1,1,3,1,3,1,4,41.2,22.2,31.7,6.1,50.7,28.4,34.2,22.2,28.2
